rX,rY,rZ,rSpeed,bX,bY,bSpeed,sX,sY,sZ,sSpeed,dAng,bAng,bZ,bowlerEnd
-8.3125,0.420978,1.92968,141.839,-2.2655,0.493712,107.631,10.06,0.594711,2.10481,102.954,18.4837,13.5187,0.0001,south
-8.45,0.454063,2.0025,144.022,-0.6699,0.311483,116.063,10.06,0.0695824,1.62036,111.4,15.4425,11.3426,0.0001,south
8.5644,-0.618786,1.93914,85.3938,-6.23201,0.215173,70.1079,-10.06,0.327057,0.625023,64.8169,15.7821,11.6355,0.0001,north
8.7526,-0.714855,1.95476,83.2584,-7.06063,0.180749,67.1458,-10.06,0.266545,0.502191,63.017,16.8953,11.2615,0.0001,north
8.5911,-0.623632,1.95311,83.0874,-4.69498,0.0630522,67.7899,-10.06,0.168545,0.781183,60.8891,16.355,12.3364,0.0001,north
8.7871,-0.640273,1.98195,86.4602,-7.44821,0.0057578,70.1697,-10.06,0.00923347,0.534522,66.484,16.348,12.7126,0.0001,north
8.7185,-0.656895,1.91887,87.3109,-5.68553,0.0700091,72.8254,-10.06,0.139956,0.623386,66.9922,15.764,10.6787,0.0001,north
8.5766,-0.659343,1.95647,87.399,-4.01674,-0.108267,69.7195,-10.06,-0.0561012,0.71721,61.5461,15.5208,11.2089,0.0001,north
-8.4826,0.407209,1.98847,141.635,2.53252,0.453154,118.872,10.06,0.407072,0.819414,115.354,11.955,7.86203,0.0001,south
-8.5717,0.457746,2.02479,141.784,1.3894,0.506001,120.945,10.06,0.47931,0.930909,106.129,13.1237,8.18501,0.0001,south
-8.2971,0.400982,1.9741,141.354,1.53797,0.563313,122.031,10.06,0.68643,0.937173,108.085,12.9093,8.19723,0.0001,south
-8.5966,0.408889,2.02892,147.517,-1.6804,0.382277,116.615,10.06,0.254961,1.75189,108.29,17.33,11.5493,0.0001,south
-8.5188,0.384777,2.00944,142.704,7.64717,0.0551437,121.39,10.06,-0.0139196,0.385618,116.562,9.75791,8.77285,0.0001,south
-8.6022,0.426436,2.02745,139.833,1.92086,0.588525,114.216,10.06,0.799197,0.930118,110.091,12.5239,8.48083,0.0001,south
8.3144,-0.679787,1.99469,131.808,-4.91553,0.0752283,112.519,-10.06,0.45412,0.588224,103.072,11.4886,7.60669,0.0001,north
